https://riscv.github.io/riscv-isa-manual/snapshot/spec/#ext:a:~:text=RV64A%20Standard%20Extension%20%28in%20addition%20to%20RV32A

  31      27 26 25        20        15    12         7         2   0
R |        0|aq|rl|      rs2|      rs1|    3|       rd|       13|  2|  amoadd.w   rd, rs2, (rs1)
R |        0|aq|rl|      rs2|      rs1|    3|       rd|       13|  3|  amoadd.d   rd, rs2, (rs1)
R |        1|aq|rl|      rs2|      rs1|    3|       rd|       13|  2|  amoswap.w  rd, rs2, (rs1)
R |        1|aq|rl|      rs2|      rs1|    3|       rd|       13|  3|  amoswap.d  rd, rs2, (rs1)
R |        2|aq|rl|        0|      rs1|    3|       rd|       13|  2|  lr.w       rd, (rs1)
R |        2|aq|rl|        0|      rs1|    3|       rd|       13|  3|  lr.d       rd, (rs1)
R |        3|aq|rl|      rs2|      rs1|    3|       rd|       13|  2|  sc.w       rd, rs2, (rs1)
R |        3|aq|rl|      rs2|      rs1|    3|       rd|       13|  3|  sc.d       rd, rs2, (rs1)
R |        4|aq|rl|      rs2|      rs1|    3|       rd|       13|  2|  amoxor.w   rd, rs2, (rs1)
R |        4|aq|rl|      rs2|      rs1|    3|       rd|       13|  3|  amoxor.d   rd, rs2, (rs1)
R |        8|aq|rl|      rs2|      rs1|    3|       rd|       13|  2|  amoor.w    rd, rs2, (rs1)
R |        8|aq|rl|      rs2|      rs1|    3|       rd|       13|  3|  amoor.d    rd, rs2, (rs1)
R |       12|aq|rl|      rs2|      rs1|    3|       rd|       13|  2|  amoand.w   rd, rs2, (rs1)
R |       12|aq|rl|      rs2|      rs1|    3|       rd|       13|  3|  amoand.d   rd, rs2, (rs1)
R |       16|aq|rl|      rs2|      rs1|    3|       rd|       13|  2|  amomin.w   rd, rs2, (rs1)
R |       16|aq|rl|      rs2|      rs1|    3|       rd|       13|  3|  amomin.d   rd, rs2, (rs1)
R |       20|aq|rl|      rs2|      rs1|    3|       rd|       13|  2|  amomax.w   rd, rs2, (rs1)
R |       20|aq|rl|      rs2|      rs1|    3|       rd|       13|  3|  amomax.d   rd, rs2, (rs1)
R |       24|aq|rl|      rs2|      rs1|    3|       rd|       13|  2|  amominu.w  rd, rs2, (rs1)
R |       24|aq|rl|      rs2|      rs1|    3|       rd|       13|  3|  amominu.d  rd, rs2, (rs1)
R |       28|aq|rl|      rs2|      rs1|    3|       rd|       13|  2|  amomaxu.w  rd, rs2, (rs1)
R |       28|aq|rl|      rs2|      rs1|    3|       rd|       13|  3|  amomaxu.d  rd, rs2, (rs1)
